l_edge,r_edge,n,fr,fr_std,mark
144946,145405,5,11.142061281337048,0.6712761278136005,3
145545,146778,18,15.004413062665492,1.307038548472257,3
147261,147866,7,11.881188118811881,0.3985744381005177,3
148231,148819,6,10.245901639344263,0.5411571268426754,3
148911,149401,6,12.820512820512821,1.419011995895654,3
149452,149714,3,12.345679012345679,1.0559675705342946,3
149752,150662,6,6.172839506172839,0.2735357458812034,3
151884,153169,14,10.970464135021096,0.5948178742557896,3
153364,153947,6,10.351966873706004,1.3618866857121212,3
154035,155131,4,3.012048192771084,0.4739134946604368,3
155258,155965,8,11.532125205930809,0.47267864552420075,3
157093,158033,4,3.571428571428571,0.2987708518836881,3
158229,159991,19,10.830324909747294,0.5289166778585157,3
160421,161680,7,5.176876617773943,0.6433452350837204,3
161952,163809,20,10.813887307911212,0.5619386851319904,3
164080,165910,5,2.3121387283236996,0.16866986676144394,2
166147,169726,7,1.724633515377982,0.14501113315967962,2
170691,176329,12,1.986276634163958,0.13419747282108144,2
176584,179994,7,1.8126888217522659,0.10043188407274253,2
180232,180827,3,4.040404040404041,0.3251681956868415,2
186353,186958,2,1.9801980198019802,0.0,1
194956,196535,4,2.028397565922921,0.09206202012399924,1
200164,201912,3,1.2135922330097089,0.06207372521391433,1
204755,206197,3,1.4903129657228018,0.0,1
209001,210140,3,1.9249278152069298,0.05241243697953388,1
