l_edge,r_edge,n,fr,fr_std,mark
145102,145895,12,15.873015873015873,1.262432561237597,eho
148365,148693,5,17.543859649122805,0.25751308911482773,eho
154591,154930,2,4.184100418410042,0.0,lco
156442,157091,3,3.6429872495446265,0.2566844040710211,lco
157430,159153,6,3.0807147258163896,0.20883505554684276,lco
159768,160425,4,5.3859964093357275,0.2086270931773326,lco
160539,161008,5,10.840108401084011,0.697541088596882,eho
161344,162194,3,2.6666666666666665,0.2956033378250884,lco
163279,163939,3,3.571428571428571,0.044184969580838535,lco
165759,166831,3,2.05761316872428,0.5035400915047794,delm
168283,168671,4,10.416666666666666,1.041704342007716,lco
