l_edge,r_edge,n,fr,fr_std,mark
119783,120169,2,3.4965034965034967,0.0,delm
126453,126906,6,14.164305949008499,2.190794195398197,eho
139291,139680,5,13.84083044982699,0.7599625104165569,eho
141171,142256,12,11.167512690355329,0.8200106684837625,eho
143790,144645,11,13.245033112582782,1.8117782243914868,eho
147362,147752,4,10.344827586206897,0.5768476205278084,lco
148047,148399,4,11.904761904761903,0.49434168406217754,eho
148663,149681,11,10.893246187363836,0.8117469978634255,eho
149825,151342,17,11.291460832745235,6.669598997820358,eho
151427,152665,16,13.181019332161688,1.0115578524178461,eho
152565,154112,17,11.0573600552868,0.36105226324347994,eho
154195,157647,39,11.336515513126491,0.678522617755566,урщ
157547,157963,5,12.658227848101266,1.0396492996320033,eho
157968,162062,46,11.266900350525788,0.32845727623909077,eho
161871,162493,7,11.49425287356322,0.407724534184415,eho
162654,164225,19,12.236573759347383,0.45641192648408274,eho
166869,167742,3,2.5873221216041395,0.07536591696267603,delm
168262,169609,5,3.2076984763432232,0.2804172664725325,delm
169653,170166,5,9.685230024213075,1.0676222959984618,eho
170066,171068,3,2.2172949002217295,0.039738761208916215,delm
170968,171603,3,3.7383177570093458,0.004034240679113469,lco
173961,174432,2,2.6954177897574123,0.0,delm
176899,177227,4,13.157894736842106,0.18700198229477916,eho
178919,179194,3,11.428571428571429,0.26393155162954296,eho
180686,181837,3,1.9029495718363465,0.2582027655050785,delm
187411,188210,2,1.430615164520744,0.0,delm
190813,193595,5,1.4914243102162565,0.05167717461504155,delm
198388,198937,3,4.4543429844097995,0.20046784908444804,lco
201351,201925,4,6.329113924050633,0.17073535027165027,lco
204127,204841,2,1.6286644951140066,0.0,delm
206488,208201,3,1.2399256044637321,0.03328602207899465,delm
208675,208927,2,6.578947368421053,0.0,lco
209577,209806,3,15.503875968992247,0.6245000207567618,eho
210552,211600,3,2.109704641350211,0.13362448146602465,delm
214062,215216,3,1.8975332068311195,0.031182390163952606,delm
215555,216114,3,4.357298474945534,0.02740400269552671,delm
217880,218736,2,1.3227513227513228,0.0,delm
219820,221988,4,1.4506769825918762,0.14049123290561313,delm
223199,224696,3,1.4316392269148175,0.18755809727574665,delm
224900,225183,3,10.92896174863388,0.5861599078039739,eho
226409,228469,4,1.530612244897959,0.07109416915914854,delm
