l_edge,r_edge,n,fr,fr_std,mark
151900,152666,4,4.504504504504505,0.14442927051418053,delm
152753,153478,4,4.8,0.10488192217918203,delm
153712,154687,4,3.4285714285714284,0.16487435676710588,delm
155117,155820,9,13.266998341625207,1.272952070262239,eho
155890,156634,8,10.869565217391305,0.514023843263606,eho
157517,158196,4,5.181347150259067,0.2849594768197922,delm
158693,160205,17,11.3314447592068,0.2691349335030336,eho
160327,161338,5,4.390779363336992,0.18735076447591328,delm
161402,161814,5,12.820512820512821,0.4059529597379509,eho
162228,163095,9,10.430247718383312,0.40844094757592514,урщ
163635,164056,5,12.461059190031152,0.5796987421732349,урщ
164202,165528,5,3.2626427406199023,0.11437629147446915,вудь
165983,166325,4,12.396694214876032,0.9726199139085882,eho
167238,168519,4,2.5402201524132093,0.101081146985118,delm
168786,170268,7,4.341534008683068,0.22452288219056635,delm
170535,172033,5,2.861230329041488,0.19583871034084152,delm
176428,176738,4,14.285714285714285,1.391651193569985,lco
177703,178243,2,2.272727272727273,0.0,delm
179379,179770,5,13.745704467353953,1.3378743954206003,eho
180506,181667,3,1.885014137606032,0.20617436133307415,delm
183978,184799,2,1.3869625520110958,0.0,delm
185124,185652,2,2.336448598130841,0.0,delm
186926,188383,3,1.4738393515106853,0.05330017055168856,delm
190024,192118,4,1.5045135406218657,0.10052833165406766,delm
193948,194938,2,1.1235955056179776,0.0,delm
195406,196376,3,2.2988505747126435,0.20747691005361107,delm
196931,198527,3,1.3368983957219251,0.07945603736095033,delm
200022,201396,3,1.5698587127158556,0.14655401897762382,delm
202791,203358,2,2.141327623126338,0.0,delm
204150,205446,3,1.6722408026755853,0.23248744075375588,delm
206637,207785,3,1.9083969465648853,0.006308092504694068,delm
209196,209923,2,1.594896331738437,0.0,delm
210232,210702,2,2.7027027027027026,0.0,delm
223058,223705,2,1.8281535648994514,0.0,delm
225995,226569,2,2.109704641350211,0.0,delm
