l_edge,r_edge,n,fr,fr_std,mark
144661,145217,5,8.771929824561402,1.1524044698548057,eho
147261,147994,8,11.058451816745656,0.727470131177043,eho
148231,149011,6,7.352941176470588,1.8550145054709075,eho
149614,150662,7,6.329113924050633,0.27821523066608805,eho
151884,152373,5,10.282776349614396,0.589066257233965,eho
152701,153169,5,10.869565217391305,0.7684126909975947,eho
154503,154917,2,3.1847133757961785,0.0,delm
155258,155965,8,11.532125205930809,0.47267864552420075,eho
157093,158033,4,3.571428571428571,0.2987708518836881,delm
158229,158592,4,11.406844106463877,0.3456182130110863,eho
158825,159991,13,11.25703564727955,0.42921200256753855,eho
160421,161465,5,4.237288135593221,0.18753760669375893,delm
161817,163809,21,10.570824524312897,0.558520064487322,eho
164464,165555,3,2.0181634712411705,0.09994037738459088,delm
165810,166247,2,2.9673590504451037,0.0,delm
167350,168879,3,1.3995801259622114,0.05032629017524787,delm
169268,169726,2,2.793296089385475,0.0,delm
170691,172112,3,1.514004542013626,0.11050456115892696,delm
172501,173304,3,2.8449502133712663,0.10046786511437024,delm
173655,175510,4,1.7094017094017095,0.03413929854787905,delm
175828,176684,3,2.6455026455026456,0.0929359213863092,delm
177077,178352,3,1.702127659574468,0.04599984037001992,delm
178968,179994,3,2.159827213822894,0.0026932544779778153,delm
180232,180545,2,4.694835680751174,0.0,delm
186353,186958,2,1.9801980198019802,0.0,вудь
194956,196000,3,2.1186440677966103,0.10625251829922554,delm
196006,196535,2,2.331002331002331,0.0,delm
200164,201912,3,1.2135922330097089,0.010203900035163959,delm
204755,206197,3,1.4903129657228018,0.0,delm
209001,210140,3,1.9249278152069298,0.05241243697953388,delm
217319,217580,3,12.422360248447205,0.1336407397530094,delm
