l_edge,r_edge,n,fr,fr_std,mark
164202,165528,5,3.2626427406199023,0.11437629147446915,2
166611,167338,3,3.189792663476874,0.1791695164720342,2
167588,168519,3,2.406738868832732,0.02173755395820251,2
168786,170025,6,4.389815627743634,0.26717719008652085,2
168786,170268,7,4.341534008683068,0.22452288219056635,2
170535,171749,4,2.6929982046678638,0.15840052134814286,2
177311,178656,4,2.4096385542168677,0.057038416909242266,1
180320,180606,2,5.376344086021505,0.0,1
181137,181667,2,2.3255813953488373,0.0,1
183978,184799,2,1.3869625520110958,0.0,1
185124,185652,2,2.336448598130841,0.0,1
186926,188803,4,1.6882386043894202,0.18056071915467897,1
190024,192118,4,1.5045135406218657,0.10052833165406766,1
193948,194938,2,1.1235955056179776,0.0,1
195406,196376,3,2.2988505747126435,0.20747691005361107,1
197756,198527,2,1.4903129657228018,0.0,1
198741,199324,2,2.070393374741201,0.0,1
200762,201396,2,1.8726591760299625,0.0,1
202791,203358,2,2.141327623126338,0.0,1
204892,205946,3,2.202643171806167,0.1,1
206637,207785,3,1.9083969465648853,0.006308092504694068,1
209196,209923,2,1.594896331738437,0.0,1
210232,211287,3,2.094240837696335,0.2722081256013147,1
213666,214166,2,2.5,0.0,1
216941,217643,2,1.6611295681063123,0.0,1
223058,223705,2,1.8281535648994514,0.0,1
225995,226569,2,2.109704641350211,0.0,1
228965,229651,2,1.7064846416382253,0.0,1
