l_edge,r_edge,n,fr,fr_std,mark
141584,141961,4,10.830324909747294,1.972254448014429,eho
145910,146145,3,14.814814814814813,0.44350637962440337,eho
146327,146775,6,14.367816091954024,0.662736112643376,eho
147340,147708,5,14.925373134328357,0.6973702758965702,eho
148364,148762,6,16.778523489932887,0.672509979549304,eho
148918,149214,4,15.306122448979593,1.5579397133949404,eho
153750,153982,3,15.15151515151515,0.13254138411148444,eho
155174,156144,4,3.4482758620689657,0.34352673293730396,delm
156297,157207,4,3.7037037037037033,0.13797207379620124,delm
157549,157767,3,16.949152542372882,1.4927183058622904,eho
159012,159969,13,14.002333722287046,0.5679296570030589,eho
160457,161480,4,3.2502708559046583,0.2879393625068703,delm
161473,162051,8,14.644351464435145,0.37081821509764973,eho
162390,162718,2,4.385964912280701,0.0,lco
163705,164115,5,12.903225806451614,0.9786347228094465,eho
165159,166088,2,1.2062726176115803,0.0,delm
166600,168231,3,1.3063357282821686,0.10098871541281895,delm
169056,169945,3,2.5348542458808616,0.10943780493248553,delm
170297,171782,3,1.444043321299639,0.07885715728221766,delm
172488,173760,3,1.7064846416382253,0.04539498790935211,delm
174283,174678,2,3.3898305084745766,0.0,lco
175155,176362,3,1.806684733514002,0.027325752122689884,delm
177162,178591,3,1.5048908954100828,0.08302772292918403,delm
178925,179204,2,5.58659217877095,0.0,lco
180047,180753,2,1.6501650165016502,0.0,delm
181127,181411,2,5.434782608695652,0.0,lco
183208,184387,3,1.8535681186283597,0.13191012136184901,delm
