l_edge,r_edge,n,fr,fr_std,mark
119164,119710,2,2.242152466367713,0.0,delm
139022,139371,4,12.048192771084336,0.9237858950034735,eho
139640,139923,4,16.39344262295082,1.2364215481360081,eho
140529,141011,6,13.089005235602093,0.9936679367341901,eho
146685,147071,5,13.986013986013987,0.21869704899993034,eho
148257,148725,6,13.58695652173913,1.3402232470906652,eho
150045,150798,9,12.25114854517611,0.9558054291337802,eho
152470,153464,10,10.067114093959733,0.7499357826500579,lco
153879,154471,4,6.097560975609756,0.584530603969578,lco
154583,155744,11,9.42507068803016,1.0770602183651432,eho
155820,156863,12,11.664899257688228,0.5660311790710365,eho
156931,158129,13,10.92896174863388,0.9294851815640212,eho
158193,158668,3,5.333333333333333,0.4680386182230566,delm
158568,158756,2,11.363636363636365,0.0,eho
159191,159537,4,12.195121951219512,0.18214528128964752,eho
160030,160463,5,12.012012012012011,0.5613821425738688,eho
160524,162316,21,11.82033096926714,0.45258098062451063,eho
162388,163922,17,11.157601115760112,0.49841144196405573,eho
164090,164731,5,7.393715341959334,0.5432084484617496,lco
165039,165791,3,3.067484662576687,0.11408366567223208,delm
165836,166257,5,12.461059190031152,0.8608831127953682,eho
166705,167017,2,4.716981132075472,0.0,delm
169665,170306,3,3.696857670979667,0.16175536530744833,delm
171388,171762,2,3.64963503649635,0.0,delm
173624,174149,2,2.3529411764705883,0.0,delm
174196,174895,7,10.01669449081803,1.200304830462665,eho
174940,175372,2,3.012048192771084,0.0,delm
176362,176950,6,10.245901639344263,1.1190924794440702,eho
177492,178089,2,2.0120724346076457,0.0,delm
180921,181938,2,1.0905125408942202,0.0,delm
183928,184967,2,1.0649627263045793,0.0,delm
185473,185998,3,4.705882352941177,0.13424892072506173,delm
186183,186695,3,4.8543689320388355,0.013605200046885342,delm
186840,187067,3,15.748031496062993,1.2170568015653336,eho
187894,188603,2,1.6420361247947455,0.0,delm
189520,189818,3,10.1010101010101,0.05890728182732643,eho
190027,191528,3,1.4275517487508922,0.06765360416752075,delm
193611,195301,3,1.2578616352201257,0.13885090133590142,delm
195554,195863,3,9.569377990430622,1.2424377945519751,lco
196056,198502,4,1.278772378516624,0.06180903310663535,delm
197534,197880,4,12.195121951219512,0.18214528128964752,eho
198578,198960,4,10.638297872340425,0.7261346218092711,eho
199378,199656,3,11.235955056179776,0.14577711632107723,eho
200304,202196,3,1.1160714285714286,0.08342214308882306,delm
203047,203466,6,15.673981191222571,1.4132822335213309,eho
204184,204892,2,1.6447368421052633,0.0,delm
207006,208452,3,1.4858841010401187,0.13639329520364113,delm
209520,210679,2,0.9442870632672333,0.0,delm
210579,211344,2,1.5037593984962405,0.0,delm
211896,212220,2,4.464285714285714,0.0,delm
216231,217534,3,1.6625103906899417,0.1109054565268154,delm
219291,219831,2,2.272727272727273,0.0,delm
220317,220889,5,8.474576271186441,1.076079004867258,lco
222182,223587,3,1.5325670498084292,0.10238239679116104,delm
225161,225835,2,1.7421602787456447,0.0,delm
