"timepoint, ms","fr, kHz",mark
0.14163399999999998,10.830324909747294,eho
0.14169199999999998,10.830324909747294,eho
0.14182999999999998,10.830324909747294,eho
0.14191099999999998,10.830324909747294,eho
0.14596,14.814814814814813,eho
0.146031,14.814814814814813,eho
0.146095,14.814814814814813,eho
0.146377,14.367816091954024,eho
0.146441,14.367816091954024,eho
0.1465,14.367816091954024,eho
0.146582,14.367816091954024,eho
0.14665499999999998,14.367816091954024,eho
0.146725,14.367816091954024,eho
0.14739,14.925373134328357,eho
0.14746399999999998,14.925373134328357,eho
0.14751999999999998,14.925373134328357,eho
0.147592,14.925373134328357,eho
0.14765799999999998,14.925373134328357,eho
0.148414,16.778523489932887,eho
0.14846299999999998,16.778523489932887,eho
0.148524,16.778523489932887,eho
0.148585,16.778523489932887,eho
0.148645,16.778523489932887,eho
0.14871199999999998,16.778523489932887,eho
0.148968,15.306122448979593,eho
0.149022,15.306122448979593,eho
0.14908,15.306122448979593,eho
0.149164,15.306122448979593,eho
0.1538,15.15151515151515,eho
0.153867,15.15151515151515,eho
0.15393199999999999,15.15151515151515,eho
0.155224,3.4482758620689657,delm
0.155578,3.4482758620689657,delm
0.15588,3.4482758620689657,delm
0.15609399999999998,3.4482758620689657,delm
0.15634699999999999,3.7037037037037033,delm
0.15659399999999998,3.7037037037037033,delm
0.156861,3.7037037037037033,delm
0.157157,3.7037037037037033,delm
0.157599,16.949152542372882,eho
0.15764899999999998,16.949152542372882,eho
0.157717,16.949152542372882,eho
0.15906199999999998,14.002333722287046,eho
0.159128,14.002333722287046,eho
0.159206,14.002333722287046,eho
0.159271,14.002333722287046,eho
0.159336,14.002333722287046,eho
0.15942399999999998,14.002333722287046,eho
0.159491,14.002333722287046,eho
0.159571,14.002333722287046,eho
0.15964899999999999,14.002333722287046,eho
0.159712,14.002333722287046,eho
0.159798,14.002333722287046,eho
0.15986899999999998,14.002333722287046,eho
0.159919,14.002333722287046,eho
0.16050699999999998,3.2502708559046583,delm
0.160738,3.2502708559046583,delm
0.16109099999999998,3.2502708559046583,delm
0.16143,3.2502708559046583,delm
0.161523,14.644351464435145,eho
0.161582,14.644351464435145,eho
0.161658,14.644351464435145,eho
0.16172399999999998,14.644351464435145,eho
0.161796,14.644351464435145,eho
0.16186299999999998,14.644351464435145,eho
0.161932,14.644351464435145,eho
0.162001,14.644351464435145,eho
0.16244,4.385964912280701,lco
0.16266799999999998,4.385964912280701,lco
0.16375499999999998,12.903225806451614,eho
0.163853,12.903225806451614,eho
0.163931,12.903225806451614,eho
0.163993,12.903225806451614,eho
0.164065,12.903225806451614,eho
0.165209,1.2062726176115803,delm
0.166038,1.2062726176115803,delm
0.16665,1.3063357282821686,delm
0.167518,1.3063357282821686,delm
0.168181,1.3063357282821686,delm
0.16910599999999998,2.5348542458808616,delm
0.16947099999999998,2.5348542458808616,delm
0.169895,2.5348542458808616,delm
0.170347,1.444043321299639,delm
0.17110499999999998,1.444043321299639,delm
0.171732,1.444043321299639,delm
0.172538,1.7064846416382253,delm
0.173097,1.7064846416382253,delm
0.17371,1.7064846416382253,delm
0.174333,3.3898305084745766,lco
0.174628,3.3898305084745766,lco
0.175205,1.806684733514002,delm
0.17577299999999998,1.806684733514002,delm
0.176312,1.806684733514002,delm
0.17721199999999998,1.5048908954100828,delm
0.17794,1.5048908954100828,delm
0.178541,1.5048908954100828,delm
0.178975,5.58659217877095,lco
0.17915399999999998,5.58659217877095,lco
0.18009699999999998,1.6501650165016502,delm
0.180703,1.6501650165016502,delm
0.181177,5.434782608695652,lco
0.181361,5.434782608695652,lco
0.183258,1.8535681186283597,delm
0.183864,1.8535681186283597,delm
0.184337,1.8535681186283597,delm
